Start Time,End Time,Sleep
01:41:30.000,01:42:00.000,Wake
01:42:00.000,01:42:30.000,Wake
01:42:30.000,01:43:00.000,Wake
01:43:00.000,01:43:30.000,Wake
01:43:30.000,01:44:00.000,Wake
01:44:00.000,01:44:30.000,Wake
01:44:30.000,01:45:00.000,Wake
01:45:00.000,01:45:30.000,Wake
01:45:30.000,01:46:00.000,Wake
01:46:00.000,01:46:30.000,Wake
01:46:30.000,01:47:00.000,Wake
01:47:00.000,01:47:30.000,Wake
01:47:30.000,01:48:00.000,Wake
01:48:00.000,01:48:30.000,Wake
01:48:30.000,01:49:00.000,Wake
01:49:00.000,01:49:30.000,Wake
01:49:30.000,01:50:00.000,Wake
01:50:00.000,01:50:30.000,Wake
01:50:30.000,01:51:00.000,Wake
01:51:00.000,01:51:30.000,Wake
01:51:30.000,01:52:00.000,Wake
01:52:00.000,01:52:30.000,Wake
01:52:30.000,01:53:00.000,Wake
01:53:00.000,01:53:30.000,Wake
01:53:30.000,01:54:00.000,Wake
01:54:00.000,01:54:30.000,Wake
01:54:30.000,01:55:00.000,Wake
01:55:00.000,01:55:30.000,Wake
01:55:30.000,01:56:00.000,Wake
01:56:00.000,01:56:30.000,Wake
01:56:30.000,01:57:00.000,Wake
01:57:00.000,01:57:30.000,Wake
01:57:30.000,01:58:00.000,Wake
01:58:00.000,01:58:30.000,Wake
01:58:30.000,01:59:00.000,Wake
01:59:00.000,01:59:30.000,Wake
01:59:30.000,02:00:00.000,Wake
02:00:00.000,02:00:30.000,Wake
02:00:30.000,02:01:00.000,Wake
02:01:00.000,02:01:30.000,Wake
02:01:30.000,02:02:00.000,Wake
02:02:00.000,02:02:30.000,N1
02:02:30.000,02:03:00.000,N1
02:03:00.000,02:03:30.000,N1
02:03:30.000,02:04:00.000,N1
02:04:00.000,02:04:30.000,N1
02:04:30.000,02:05:00.000,N1
02:05:00.000,02:05:30.000,N1
02:05:30.000,02:06:00.000,N1
02:06:00.000,02:06:30.000,N2
02:06:30.000,02:07:00.000,N2
02:07:00.000,02:07:30.000,N2
02:07:30.000,02:08:00.000,N2
02:08:00.000,02:08:30.000,N2
02:08:30.000,02:09:00.000,N2
02:09:00.000,02:09:30.000,N2
02:09:30.000,02:10:00.000,N2
02:10:00.000,02:10:30.000,N2
02:10:30.000,02:11:00.000,N2
02:11:00.000,02:11:30.000,N2
02:11:30.000,02:12:00.000,N2
02:12:00.000,02:12:30.000,N2
02:12:30.000,02:13:00.000,N2
02:13:00.000,02:13:30.000,N2
02:13:30.000,02:14:00.000,N2
02:14:00.000,02:14:30.000,N2
02:14:30.000,02:15:00.000,N2
02:15:00.000,02:15:30.000,N2
02:15:30.000,02:16:00.000,N2
02:16:00.000,02:16:30.000,N3
02:16:30.000,02:17:00.000,N3
02:17:00.000,02:17:30.000,N3
02:17:30.000,02:18:00.000,N3
02:18:00.000,02:18:30.000,N3
02:18:30.000,02:19:00.000,N3
02:19:00.000,02:19:30.000,N3
02:19:30.000,02:20:00.000,N3
02:20:00.000,02:20:30.000,N3
02:20:30.000,02:21:00.000,N3
02:21:00.000,02:21:30.000,N3
02:21:30.000,02:22:00.000,N3
02:22:00.000,02:22:30.000,N3
02:22:30.000,02:23:00.000,N3
02:23:00.000,02:23:30.000,N3
02:23:30.000,02:24:00.000,N3
02:24:00.000,02:24:30.000,N3
02:24:30.000,02:25:00.000,N3
02:25:00.000,02:25:30.000,N3
02:25:30.000,02:26:00.000,N3
02:26:00.000,02:26:30.000,N3
02:26:30.000,02:27:00.000,N3
02:27:00.000,02:27:30.000,N3
02:27:30.000,02:28:00.000,N3
02:28:00.000,02:28:30.000,N3
02:28:30.000,02:29:00.000,N3
02:29:00.000,02:29:30.000,N3
02:29:30.000,02:30:00.000,N3
02:30:00.000,02:30:30.000,N3
02:30:30.000,02:31:00.000,N3
02:31:00.000,02:31:30.000,N3
02:31:30.000,02:32:00.000,N3
02:32:00.000,02:32:30.000,N3
02:32:30.000,02:33:00.000,N3
02:33:00.000,02:33:30.000,N3
02:33:30.000,02:34:00.000,N3
02:34:00.000,02:34:30.000,N3
02:34:30.000,02:35:00.000,N3
02:35:00.000,02:35:30.000,N3
02:35:30.000,02:36:00.000,N3
02:36:00.000,02:36:30.000,N3
02:36:30.000,02:37:00.000,N3
02:37:00.000,02:37:30.000,N3
02:37:30.000,02:38:00.000,N3
02:38:00.000,02:38:30.000,N3
02:38:30.000,02:39:00.000,N3
02:39:00.000,02:39:30.000,N3
02:39:30.000,02:40:00.000,N3
02:40:00.000,02:40:30.000,N3
02:40:30.000,02:41:00.000,N3
02:41:00.000,02:41:30.000,N3
02:41:30.000,02:42:00.000,N3
02:42:00.000,02:42:30.000,N3
02:42:30.000,02:43:00.000,N3
02:43:00.000,02:43:30.000,N3
02:43:30.000,02:44:00.000,N3
02:44:00.000,02:44:30.000,N3
02:44:30.000,02:45:00.000,N3
02:45:00.000,02:45:30.000,N3
02:45:30.000,02:46:00.000,N3
02:46:00.000,02:46:30.000,N3
02:46:30.000,02:47:00.000,N3
02:47:00.000,02:47:30.000,N3
02:47:30.000,02:48:00.000,N3
