Start Time,End Time,Sleep
09/01/2020 23:16,09/01/2020 23:17,Wake
09/01/2020 23:17,09/01/2020 23:17,N1
09/01/2020 23:17,09/01/2020 23:18,N1
09/01/2020 23:18,09/01/2020 23:18,N2
09/01/2020 23:18,09/01/2020 23:19,N2
09/01/2020 23:19,09/01/2020 23:19,N2
09/01/2020 23:19,09/01/2020 23:20,N2
09/01/2020 23:20,09/01/2020 23:20,N2
09/01/2020 23:20,09/01/2020 23:21,N2
09/01/2020 23:21,09/01/2020 23:21,N2
09/01/2020 23:21,09/01/2020 23:22,N2
09/01/2020 23:22,09/01/2020 23:22,N2
09/01/2020 23:22,09/01/2020 23:23,N2
09/01/2020 23:23,09/01/2020 23:23,N2
09/01/2020 23:23,09/01/2020 23:24,N2
09/01/2020 23:24,09/01/2020 23:24,N2
09/01/2020 23:24,09/01/2020 23:25,N2
09/01/2020 23:25,09/01/2020 23:25,N2
09/01/2020 23:25,09/01/2020 23:26,N2
09/01/2020 23:26,09/01/2020 23:26,N2
09/01/2020 23:26,09/01/2020 23:27,Wake
09/01/2020 23:27,09/01/2020 23:27,Wake
09/01/2020 23:27,09/01/2020 23:28,Wake
09/01/2020 23:28,09/01/2020 23:28,Wake
09/01/2020 23:28,09/01/2020 23:29,Wake
09/01/2020 23:29,09/01/2020 23:29,Wake
09/01/2020 23:29,09/01/2020 23:30,Wake
09/01/2020 23:30,09/01/2020 23:30,Wake
09/01/2020 23:30,09/01/2020 23:31,Wake
09/01/2020 23:31,09/01/2020 23:31,Wake
09/01/2020 23:31,09/01/2020 23:32,Wake
09/01/2020 23:32,09/01/2020 23:32,Wake
09/01/2020 23:32,09/01/2020 23:33,Wake
09/01/2020 23:33,09/01/2020 23:33,Wake
09/01/2020 23:33,09/01/2020 23:34,Wake
09/01/2020 23:34,09/01/2020 23:34,Wake
09/01/2020 23:34,09/01/2020 23:35,Wake
09/01/2020 23:35,09/01/2020 23:35,Wake
09/01/2020 23:35,09/01/2020 23:36,Wake
09/01/2020 23:36,09/01/2020 23:36,Wake
09/01/2020 23:36,09/01/2020 23:37,Wake
09/01/2020 23:37,09/01/2020 23:37,Wake
09/01/2020 23:37,09/01/2020 23:38,Wake
09/01/2020 23:38,09/01/2020 23:38,Wake
09/01/2020 23:38,09/01/2020 23:39,Wake
09/01/2020 23:39,09/01/2020 23:39,Wake
09/01/2020 23:39,09/01/2020 23:40,Wake
09/01/2020 23:40,09/01/2020 23:40,Wake
09/01/2020 23:40,09/01/2020 23:41,Wake
09/01/2020 23:41,09/01/2020 23:41,Wake
09/01/2020 23:41,09/01/2020 23:42,Wake
09/01/2020 23:42,09/01/2020 23:42,Wake
09/01/2020 23:42,09/01/2020 23:43,Wake
09/01/2020 23:43,09/01/2020 23:43,Wake
09/01/2020 23:43,09/01/2020 23:44,Wake
09/01/2020 23:44,09/01/2020 23:44,Wake
09/01/2020 23:44,09/01/2020 23:45,Wake
09/01/2020 23:45,09/01/2020 23:45,Wake
09/01/2020 23:45,09/01/2020 23:46,Wake
09/01/2020 23:46,09/01/2020 23:46,Wake
09/01/2020 23:46,09/01/2020 23:47,Wake
09/01/2020 23:47,09/01/2020 23:47,Wake
09/01/2020 23:47,09/01/2020 23:48,Wake
09/01/2020 23:48,09/01/2020 23:48,Wake
09/01/2020 23:48,09/01/2020 23:49,Wake
09/01/2020 23:49,09/01/2020 23:49,Wake
09/01/2020 23:49,09/01/2020 23:50,Wake
09/01/2020 23:50,09/01/2020 23:50,Wake
09/01/2020 23:50,09/01/2020 23:51,Wake
09/01/2020 23:51,09/01/2020 23:51,Wake
09/01/2020 23:51,09/01/2020 23:52,Wake
09/01/2020 23:52,09/01/2020 23:52,Wake
09/01/2020 23:52,09/01/2020 23:53,Wake
09/01/2020 23:53,09/01/2020 23:53,Wake
09/01/2020 23:53,09/01/2020 23:54,Wake
09/01/2020 23:54,09/01/2020 23:54,Wake
09/01/2020 23:54,09/01/2020 23:55,Wake
09/01/2020 23:55,09/01/2020 23:55,Wake
09/01/2020 23:55,09/01/2020 23:56,Wake
09/01/2020 23:56,09/01/2020 23:56,Wake
09/01/2020 23:56,09/01/2020 23:57,Wake
09/01/2020 23:57,09/01/2020 23:57,Wake
09/01/2020 23:57,09/01/2020 23:58,Wake
09/01/2020 23:58,09/01/2020 23:58,Wake
09/01/2020 23:58,09/01/2020 23:59,Wake
09/01/2020 23:59,09/01/2020 23:59,Wake
09/01/2020 23:59,10/01/2020 00:00,Wake
10/01/2020 00:00,10/01/2020 00:00,Wake
10/01/2020 00:00,10/01/2020 00:01,Wake
10/01/2020 00:01,10/01/2020 00:01,Wake
10/01/2020 00:01,10/01/2020 00:02,Wake
10/01/2020 00:02,10/01/2020 00:02,Wake
10/01/2020 00:02,10/01/2020 00:03,Wake
10/01/2020 00:03,10/01/2020 00:03,Wake
10/01/2020 00:03,10/01/2020 00:04,Wake
10/01/2020 00:04,10/01/2020 00:04,Wake
10/01/2020 00:04,10/01/2020 00:05,Wake
10/01/2020 00:05,10/01/2020 00:05,Wake
10/01/2020 00:05,10/01/2020 00:06,Wake
10/01/2020 00:06,10/01/2020 00:06,Wake
10/01/2020 00:06,10/01/2020 00:07,Wake
10/01/2020 00:07,10/01/2020 00:07,Wake
10/01/2020 00:07,10/01/2020 00:08,Wake
10/01/2020 00:08,10/01/2020 00:08,Wake
10/01/2020 00:08,10/01/2020 00:09,Wake
10/01/2020 00:09,10/01/2020 00:09,Wake
10/01/2020 00:09,10/01/2020 00:10,Wake
10/01/2020 00:10,10/01/2020 00:10,Wake
10/01/2020 00:10,10/01/2020 00:11,Wake
10/01/2020 00:11,10/01/2020 00:11,Wake
10/01/2020 00:11,10/01/2020 00:12,Wake
10/01/2020 00:12,10/01/2020 00:12,Wake
10/01/2020 00:12,10/01/2020 00:13,Wake
10/01/2020 00:13,10/01/2020 00:13,Wake
10/01/2020 00:13,10/01/2020 00:14,Wake
10/01/2020 00:14,10/01/2020 00:14,Wake
10/01/2020 00:14,10/01/2020 00:15,Wake
10/01/2020 00:15,10/01/2020 00:15,Wake
10/01/2020 00:15,10/01/2020 00:16,Wake
10/01/2020 00:16,10/01/2020 00:16,Wake
10/01/2020 00:16,10/01/2020 00:17,Wake
10/01/2020 00:17,10/01/2020 00:17,Wake
10/01/2020 00:17,10/01/2020 00:18,Wake
10/01/2020 00:18,10/01/2020 00:18,Wake
10/01/2020 00:18,10/01/2020 00:19,Wake
10/01/2020 00:19,10/01/2020 00:19,Wake
10/01/2020 00:19,10/01/2020 00:20,Wake
10/01/2020 00:20,10/01/2020 00:20,Wake
10/01/2020 00:20,10/01/2020 00:21,Wake
10/01/2020 00:21,10/01/2020 00:21,Wake
10/01/2020 00:21,10/01/2020 00:22,Wake
10/01/2020 00:22,10/01/2020 00:22,Wake
10/01/2020 00:22,10/01/2020 00:23,Wake
10/01/2020 00:23,10/01/2020 00:23,Wake
10/01/2020 00:23,10/01/2020 00:24,Wake
10/01/2020 00:24,10/01/2020 00:24,Wake
10/01/2020 00:24,10/01/2020 00:25,Wake
10/01/2020 00:25,10/01/2020 00:25,Wake
10/01/2020 00:25,10/01/2020 00:26,Wake
10/01/2020 00:26,10/01/2020 00:26,Wake
10/01/2020 00:26,10/01/2020 00:27,Wake
10/01/2020 00:27,10/01/2020 00:27,Wake
10/01/2020 00:27,10/01/2020 00:28,Wake
10/01/2020 00:28,10/01/2020 00:28,Wake
10/01/2020 00:28,10/01/2020 00:29,N1
10/01/2020 00:29,10/01/2020 00:29,N1
10/01/2020 00:29,10/01/2020 00:30,N1
10/01/2020 00:30,10/01/2020 00:30,N1
10/01/2020 00:30,10/01/2020 00:31,N1
10/01/2020 00:31,10/01/2020 00:31,N2
10/01/2020 00:31,10/01/2020 00:32,N2
10/01/2020 00:32,10/01/2020 00:32,N2
10/01/2020 00:32,10/01/2020 00:33,N2
10/01/2020 00:33,10/01/2020 00:33,N2
10/01/2020 00:33,10/01/2020 00:34,N2
10/01/2020 00:34,10/01/2020 00:34,N2
10/01/2020 00:34,10/01/2020 00:35,N2
10/01/2020 00:35,10/01/2020 00:35,N2
10/01/2020 00:35,10/01/2020 00:36,N2
10/01/2020 00:36,10/01/2020 00:36,N3
10/01/2020 00:36,10/01/2020 00:37,N3
10/01/2020 00:37,10/01/2020 00:37,N3
10/01/2020 00:37,10/01/2020 00:38,N3
10/01/2020 00:38,10/01/2020 00:38,N3
10/01/2020 00:38,10/01/2020 00:39,N3
10/01/2020 00:39,10/01/2020 00:39,N3
10/01/2020 00:39,10/01/2020 00:40,N3
10/01/2020 00:40,10/01/2020 00:40,N3
10/01/2020 00:40,10/01/2020 00:41,N3
